id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1082591,2017,Hyderabad,2017-04-05,League,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,35.0,208.0,20.0,N,,AY Dandekar,NJ Llong
1082592,2017,Pune,2017-04-06,League,SPD Smith,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,7.0,185.0,20.0,N,,A Nand Kishore,S Ravi
1082593,2017,Rajkot,2017-04-07,League,CA Lynn,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,10.0,184.0,20.0,N,,Nitin Menon,CK Nandan
1082594,2017,Indore,2017-04-08,League,GJ Maxwell,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,164.0,20.0,N,,AK Chaudhary,C Shamshuddin
1082595,2017,Bengaluru,2017-04-08,League,KM Jadhav,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,15.0,158.0,20.0,N,,S Ravi,VK Sharma
1082596,2017,Hyderabad,2017-04-09,League,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,136.0,20.0,N,,A Deshmukh,NJ Llong
1082597,2017,Mumbai,2017-04-09,League,N Rana,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,4.0,179.0,20.0,N,,Nitin Menon,CK Nandan
1082598,2017,Indore,2017-04-10,League,AR Patel,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8.0,149.0,20.0,N,,AK Chaudhary,C Shamshuddin
1082599,2017,Pune,2017-04-11,League,SV Samson,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Rising Pune Supergiant,field,Delhi Daredevils,runs,97.0,206.0,20.0,N,,AY Dandekar,S Ravi
1082600,2017,Mumbai,2017-04-12,League,JJ Bumrah,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,wickets,4.0,159.0,20.0,N,,Nitin Menon,CK Nandan
1082601,2017,Kolkata,2017-04-13,League,SP Narine,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,171.0,20.0,N,,A Deshmukh,NJ Llong
1082602,2017,Bangalore,2017-04-14,League,KA Pollard,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4.0,143.0,20.0,N,,KN Ananthapadmanabhan,AK Chaudhary
1082603,2017,Rajkot,2017-04-14,League,AJ Tye,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,wickets,7.0,172.0,20.0,N,,A Nand Kishore,S Ravi
1082604,2017,Kolkata,2017-04-15,League,RV Uthappa,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,17.0,173.0,20.0,N,,AY Dandekar,NJ Llong
1082605,2017,Delhi,2017-04-15,League,CJ Anderson,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,runs,51.0,189.0,20.0,N,,YC Barde,Nitin Menon
1082606,2017,Mumbai,2017-04-16,League,N Rana,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,wickets,6.0,177.0,20.0,N,,A Nand Kishore,S Ravi
1082607,2017,Bangalore,2017-04-16,League,BA Stokes,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,runs,27.0,162.0,20.0,N,,KN Ananthapadmanabhan,C Shamshuddin
1082608,2017,Delhi,2017-04-17,League,NM Coulter-Nile,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,wickets,4.0,169.0,20.0,N,,Nitin Menon,CK Nandan
1082609,2017,Hyderabad,2017-04-17,League,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,5.0,160.0,20.0,N,,AY Dandekar,A Deshmukh
1082610,2017,Rajkot,2017-04-18,League,CH Gayle,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,runs,21.0,214.0,20.0,N,,S Ravi,VK Sharma
1082611,2017,Hyderabad,2017-04-19,League,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,15.0,192.0,20.0,N,,CB Gaffaney,NJ Llong
